stop_id,stop_name
454,pichanur
455,santosh nagar
456,chunnambukalthode
457,lakshamveedu
458,nallur
459,sorappara
460,chanthapetai
461,kozhippara
462,saniswaran
463,ealipara
464,kottilpara
465,menonpara
466,athicode junction
467,karugaparai
468,kozhinjampara
469,rail kalyana mandapam
470,podanur railway gate
471,g.d. hospital
472,railway s & t workshop
473,sithnapuram
474,g.d. wiler
475,sam anna nagar
476,konavaikkalpalayam
477,balu medicals
478,mahalingapuram
479,elgi nagar
480,bharat petrol pump
481,senthur mahal
482,sri subramanyaswamy temple
483,peachiamman kovil
484,e.s.i.
485,vellalore bs
486,kanjikonam palayam
487,vksm cotton mill
488,nadupalayam pirivu
489,peedampalli
490,valarmathi school
491,pappampatti post office
492,pappampatti
493,aatha thottam
494,podanur bus stop
495,dresser valve
496,gedee public school
497,nabi nagar
498,crematorium
499,eshwar nagar
500,r.r. nagar
501,puthur
502,thillai nagar
503,thennamanallur east
504,thombilipalayam
505,kovilpalayam bs
506,vaiyampalayam
507,ranganathar polytechnic
508,athipalayam
509,idigarai
510,oppanakara street
511,vijay nagar
512,bommanampalayam
513,bommanampalayam main
514,b.r.k. school
515,jayalakshmi nagar
516,k.g. mill
517,k.g. mill check post
518,global greens
519,sri ramalinga sowdambigai college
520,palathurai
521,okkilipalayam
522,ambedkar nagar
523,sri lakshmi narayana visalakshi college
524,mayiladum parai
525,chettipalayam
526,karpagam college of engineering
527,myleripalayam 2
528,myleripalayam
529,s.v.s. college of engineering
530,kondampatti
531,sri eshwar college of engineering
532,samathuvapuram-vadasithur
533,vadasithur
534,panapatti
535,kallimedu
536,balaji nagar
537,edayampalayam
538,shaswi international school
539,bogampatti pirivu
540,akkanaikkanpalayam
541,thermutti
542,singanallur bs
543,manis theatre
544,ramanujar nagar
545,lions
546,k.g. hospital
547,chinnavedampatti
548,gopalakrishna mill
549,y.m.c.a. office
550,ondipudur bus depot
551,g.r.g. school
552,wipro
553,kumudham nagar
554,arasur school
555,arasur
556,shanti ashram
557,kalikkanaicken palayam
558,poochiyur
559,aallamara
560,walayar
561,suguna international school
562,maha lakshmi nagar
563,kallipalayam
564,aayi amman kovil
565,molapalayam
566,mariamman kovil
567,poorandampalayam
568,pachapalayam
569,vagarayampalayam
